Kennziffer;Raumeinheit;Aggregat;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"05113";"Essen, Stadt";"krsfr. Stadt";"562,0";"551,8";"546,8";"577,6";"621,4";"598,6";"582,1";"541,3";"533,2";"562,3";"584,6";"615,7";"754,7";"718,3";"725,1";"704,0";"686,3";"691,9";"720,4";"741,4";"774,0";"780,7";"915,0"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"520,6";"552,7";"511,3";"574,1";"611,2";"591,1";"486,5";"503,0";"517,7";"520,1";"503,4";"633,2";"673,0";"723,7";"612,6";"596,2";"699,9";"737,4";"733,7";"740,8";"764,7";"793,5";"850,1"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"521,8";"490,8";"491,0";"546,2";"565,7";"560,5";"559,2";"538,5";"498,8";"585,7";"575,3";"616,6";"660,8";"711,4";"580,3";"615,4";"653,5";"725,1";"678,5";"701,1";"712,8";"732,0";"803,4"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"558,2";"559,1";"504,0";"582,0";"612,8";"639,6";"590,3";"620,8";"577,4";"615,6";"610,9";"716,7";"870,2";"825,1";"815,4";"728,4";"717,4";"747,2";"757,4";"741,8";"873,5";"867,1";"860,4"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"421,7";"414,1";"403,8";"442,2";"478,7";"448,4";"423,8";"414,0";"431,6";"396,4";"413,6";"481,2";"535,4";"594,8";"495,8";"498,4";"550,0";"610,6";"558,8";"587,5";"617,1";"638,2";"667,2"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"571,8";"548,9";"562,6";"607,5";"677,8";"581,8";"605,8";"562,2";"548,3";"577,5";"573,2";"647,1";"712,8";"757,4";"681,9";"604,9";"712,3";"778,4";"802,0";"756,6";"750,2";"778,7";"815,2"
"05122";"Solingen, Stadt";"krsfr. Stadt";"535,4";"542,5";"502,7";"547,2";"580,8";"592,6";"562,1";"539,0";"527,0";"569,9";"579,6";"596,0";"654,4";"737,1";"641,4";"599,8";"678,4";"749,6";"758,8";"720,2";"758,6";"786,8";"829,4"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"563,3";"556,1";"531,5";"578,4";"614,0";"599,2";"542,5";"548,0";"531,9";"589,5";"598,6";"591,1";"638,8";"690,6";"566,1";"580,0";"662,1";"702,1";"712,6";"684,1";"727,1";"747,3";"886,2"
"05154";"Kleve";"Landkreis";"432,7";"435,1";"487,0";"475,0";"481,3";"491,2";"468,6";"452,7";"456,7";"491,2";"448,5";"495,7";"547,8";"604,0";"559,2";"546,2";"578,6";"624,3";"639,5";"621,3";"649,7";"679,3";"710,2"
"05158";"Mettmann";"Landkreis";"670,6";"644,3";"625,0";"674,3";"727,6";"741,5";"670,7";"648,0";"644,5";"709,2";"728,5";"815,5";"873,9";"994,6";"853,4";"823,0";"946,3";"1.073,2";"1.255,0";"1.236,1";"1.312,6";"1.338,6";"1.488,1"
"05162";"Rhein-Kreis Neuss";"Landkreis";"598,0";"587,6";"587,5";"594,2";"629,4";"648,4";"595,1";"601,5";"591,7";"654,5";"641,9";"696,1";"782,5";"835,6";"782,7";"759,2";"813,5";"840,2";"852,0";"900,9";"962,0";"930,6";"1.128,3"
"05166";"Viersen";"Landkreis";"494,8";"462,3";"456,3";"485,6";"506,6";"517,4";"503,0";"485,4";"477,7";"502,5";"481,0";"566,5";"607,7";"680,6";"618,8";"618,7";"662,6";"700,7";"698,0";"717,3";"771,6";"762,9";"805,7"
"05170";"Wesel";"Landkreis";"433,8";"425,8";"443,1";"458,0";"479,4";"465,7";"452,0";"436,0";"434,6";"446,8";"449,8";"503,4";"544,6";"591,1";"557,1";"563,3";"592,6";"632,3";"643,2";"658,8";"697,2";"712,7";"776,9"
"05314";"Bonn, Stadt";"krsfr. Stadt";"610,6";"603,7";"655,4";"670,8";"707,0";"684,3";"690,6";"755,1";"642,5";"495,9";"751,8";"1.173,5";"525,7";"743,3";"765,4";"693,1";"948,4";"844,5";"853,6";"877,0";"968,8";"1.018,6";"1.070,8"
"05315";"Köln, Stadt";"krsfr. Stadt";"652,7";"664,0";"664,4";"754,0";"749,2";"770,8";"695,0";"677,3";"665,4";"677,2";"766,0";"877,7";"938,9";"968,9";"841,6";"864,6";"885,6";"895,1";"943,3";"951,8";"981,8";"1.114,8";"1.122,8"
